gene,log2fold,p_mwu,p_wilcoxon,p_student,p_corr,interesting
1700010B08Rik,-0.00917948717948569,0.984053730307341,0.994496550825716,0.836717862141698,0.989811019150874,FALSE
1700010D01Rik,0.150615384615381,0.00460852154628748,0.00163512193103088,0.00367407076242774,0.0121097326493309,FALSE
1700010H22Rik,0.182512820512823,0.000182131533881116,1.59E-05,2.29E-05,0.000761115837655405,FALSE
1700010I14Rik,0.286538461538466,6.17E-10,9.09E-11,1.56E-12,1.82E-08,TRUE
1700010L04Rik,-0.263897435897436,5.50E-09,7.40E-09,3.43E-10,1.10E-07,TRUE
1700010L13Rik,-0.0506666666666664,0.132565664178187,0.276680232596846,0.214550214252668,0.205336827887089,FALSE
1700010M22Rik,-0.118102564102562,0.022108486964466,0.025814255764999,0.0144939163636043,0.0461156680234156,FALSE
1700011A15Rik,0.0429743589743588,0.392855517943737,0.219482396463718,0.416296244316223,0.492911044618095,FALSE
1700011E24Rik,-0.0742820512820526,0.0289909842232599,0.0131490195162769,0.0331116805321629,0.0578033679139583,FALSE
1700011F03Rik,-0.0575897435897428,0.102260906476514,0.11392472825537,0.0919139442835311,0.165076221481807,FALSE
1700011F14Rik,0.0947948717948748,0.0111360887027005,0.0168123849871336,0.00572931352908409,0.0257995403530741,FALSE
1700011H14Rik,-0.0841538461538454,0.0820498271827058,0.0299665838902001,0.084066055479416,0.137493201485014,FALSE
1700011H22Rik,0.0825641025641044,0.0556450538049179,0.0848496091239213,0.0337182221335898,0.0994797259026309,FALSE
1700011I03Rik,0.209897435897435,1.46E-08,2.33E-09,1.15E-09,2.51E-07,TRUE
1700011J10Rik,0.143794871794872,2.12E-05,2.21E-05,2.80E-05,0.000119612470051414,FALSE
1700011L22Rik,-0.145179487179488,0.00164394609889379,0.000233963874052279,0.000878101530513477,0.00503793197368057,FALSE
1700012A03Rik,0.108846153846155,0.00964457416830844,0.0299665838902001,0.0278308384427213,0.0227907466889187,FALSE
1700012A16Rik,-0.245256410256411,5.34E-09,6.33E-09,4.23E-11,1.07E-07,TRUE
1700012B07Rik,0.197076923076925,2.42E-05,2.78E-06,1.04E-05,0.000133750648853406,FALSE
1700012B09Rik,-0.0164358974358967,0.52567637418848,0.308702731868834,0.411221882081492,0.620400932919995,FALSE
1700012B15Rik,0.0832564102564062,0.0063668983028809,0.00163512193103088,0.00464703656962805,0.0160103983900366,FALSE
1700012L04Rik,0.0792564102564093,0.024541822739709,0.0120915767074621,0.0272234298131831,0.0503154860943523,FALSE
1700012P22Rik,0.294692307692307,6.58E-10,9.20E-10,3.57E-12,1.92E-08,TRUE
1700013B16Rik,-0.0657692307692308,0.224664147596748,0.0848496091239213,0.130243295989852,0.315598922955765,FALSE
1700013D24Rik,0.132512820512823,0.00116213834819477,0.000147311908222036,0.000465250680558519,0.00373216919936764,FALSE
1700013F07Rik,0.0885897435897443,0.013758453766149,0.0081912964960793,0.013053988070257,0.0309068422216872,FALSE
1700013G24Rik,0.162846153846155,0.000505658699000257,0.000628876954579027,0.000518829590651876,0.00182225564258878,FALSE
1700013H16Rik,-0.0890000000000004,0.0027613089463222,0.00163512193103088,0.00212344909665204,0.00783780096458943,FALSE
